archivo,numero,mes,anio,fuente_fecha
Reporte-conflictos-93.pdf,93,11,2011,pdf
Reporte-Conflictos-Sociales-249-Noviembre-2024.pdf,249,11,2024,pdf
Reporte-Conflictos-Sociales-250-Diciembre-2024.pdf,250,12,2024,pdf
Reporte-Conflictos-Sociales-N-261-Noviembre-2025.pdf,261,11,2025,pdf
Reporte-Conflictos-Sociales-N-263-Enero-2026.pdf,263,1,2026,pdf
Reporte-de-conflictos-N-94.pdf,94,12,2011,pdf
Reporte-de-Conflictos-Sociales-n-264-febrero-26.pdf,264,2,2026,pdf
Reporte-de-Conflictos-Sociales-n-265-VF.pdf,265,3,2026,pdf
Reporte-de-Conflictos-Sociales-n-266-VF.pdf,266,4,2026,pdf
Reporte-de-Conflictos-Sociales-n-267-VF.pdf,267,5,2026,pdf
Reporte-de-Conflictos-Sociales-n-268.pdf,268,6,2026,pdf
Reporte-de-Conflictos-Sociales-n-269.pdf,269,7,2026,pdf
Reporte-de-Conflictos-Sociales-N-96-Febrero-2012.pdf,96,2,2012,pdf
Reporte-de-Conflictos-Sociales-N-97-Marzo-2012.pdf,97,3,2012,pdf
Reporte-de-Conflictos-Sociales-n._-245-julio-2024.pdf,245,7,2024,pdf
Reporte-de-conflictos-sociales-n.o-255-_-mayo-2025.pdf,255,5,2025,pdf
Reporte-de-conflictos-sociales-n.o-256-_-junio-2025.pdf,256,6,2025,pdf
Reporte-de-conflictos-sociales-n.o-257-_-julio-2025.pdf,257,7,2025,pdf
Reporte-de-conflictos-sociales-n.o-258-_-agosto-2025.pdf,258,8,2025,pdf
Reporte-de-conflictos-sociales-n.o-262-_-diciembre-2025.pdf,262,12,2025,pdf
Reporte-de-Conflictos-Sociales-N_-259.pdf,259,9,2025,pdf
Reporte-de-Mensual-Conflictos-Sociales-N-100-Junio-2012.pdf,100,6,2012,pdf
reporte-diciembre.pdf,70,12,2009,pdf
Reporte-M.-de-Conflictos-Sociales-N-105-Noviembre-2012.pdf,105,11,2012,pdf
Reporte-M.-de-Conflictos-Sociales-N-106-Diciembre-2012.pdf,106,12,2012,pdf
Reporte-M.-de-Conflictos-Sociales-N-107-Ene-2013.pdf,107,1,2013,pdf
Reporte-M.-de-Conflictos-Sociales-N-108-Feb-2013.pdf,108,2,2013,pdf
Reporte-M.-de-Conflictos-Sociales-N-109-Mar-2013.pdf,109,3,2013,pdf
Reporte-M.-de-Conflictos-Sociales-N-110-Abr-2013.pdf,110,4,2013,pdf
Reporte-M.-de-Conflictos-Sociales-N-111-Mayo2013.pdf,111,5,2013,pdf
Reporte-M.-de-Conflictos-Sociales-N-112-Junio-2013.pdf,112,6,2013,pdf
Reporte-M.-de-Conflictos-Sociales-N-99-May-2012.pdf,99,5,2012,pdf
Reporte-Mensual-Conflictos-Sociales-125-Julio-2014.pdf,125,7,2014,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-101-Julio-12.pdf,101,7,2012,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-102-Ago-12.pdf,102,8,2012,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-103-Sept-2012.pdf,103,9,2012,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-104-Octu-2012.pdf,104,10,2012,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-113-Julio-2013.pdf,113,7,2013,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-114-Agosto-2013.pdf,114,8,2013,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-115-Septiembre-2013.pdf,115,9,2013,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-116-Octubre-2013.pdf,116,10,2013,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-117-noviembre-2013.pdf,117,11,2013,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-118-diciembre-2013.pdf,118,12,2013,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-119-enero-2014.pdf,119,1,2014,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-120-Febrero-2014.pdf,120,2,2014,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-121-marzo-2014.pdf,121,3,2014,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-122.pdf,122,4,2014,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-123-2014.pdf,123,5,2014,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-124-2014.pdf,124,6,2014,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-126-Agosto-2014.pdf,126,8,2014,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-127-Septiembre-2014.pdf,127,9,2014,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-128-Octubre-2014.pdf,128,10,2014,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-129-Noviembre-2014.pdf,129,11,2014,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-130-Diciembre-2014.pdf,130,12,2014,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-131-Enero-2015.pdf,131,1,2015,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-132-Febrero-2015.pdf,132,2,2015,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-133-Marzo-2015.pdf,133,3,2015,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-134-Abril-2015.pdf,134,4,2015,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-135-Mayo-2015.pdf,135,5,2015,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-136-Junio-2015.pdf,136,6,2015,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-137-Julio-2015.pdf,137,7,2015,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-138-Agosto-2015.pdf,138,8,2015,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-139-Septiembre-2015.pdf,139,9,2015,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-140-Octubre-2015.pdf,140,10,2015,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-141-Noviembre-2015.pdf,141,11,2015,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-142-Diciembre-2015.pdf,142,12,2015,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-143-Enero-2016.pdf,143,1,2016,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-144-Febrero-2016.pdf,144,2,2016,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-145-Marzo-2016.pdf,145,3,2016,pdf
Reporte-Mensual-de-Conflictos-Sociales-N-146-Abril-2016.pdf,146,4,2016,pdf
