archivo,numero,mes,anio,formato,paginas,ancho,alto,chars_p1,imgs_p1,dibujos_p1,fuente_p1,escaneado
Reporte-Mensual-de-Conflictos-Sociales-N-165-Noviembre-2017.pdf,165,11,2017,adjuntia_portada_estadistica,108,595,842,869,0,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-166-Diciembre-2017.pdf,166,12,2017,adjuntia_portada_estadistica,93,595,842,944,0,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-167-Enero-2018.pdf,167,1,2018,adjuntia_portada_estadistica,101,595,842,940,0,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-168-Febrero-2018.pdf,168,2,2018,adjuntia_portada_estadistica,108,595,842,915,5,13,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-169-Marzo-2018.pdf,169,3,2018,adjuntia_portada_estadistica,104,595,842,944,5,13,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-172-Junio-2018.pdf,172,6,2018,adjuntia_portada_estadistica,118,595,842,886,5,13,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-229-Marzo-2023.pdf,229,3,2023,adjuntia_portada_estadistica,162,595,842,963,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-251-Enero-2025.pdf,251,1,2025,infografia_ciclo_2024,113,595,842,1362,5,12,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-34---Diciembre-2006.pdf,34,12,2006,reporte_n_tabla_regiones,67,595,842,1858,0,214,Arial,0
Reporte-Mensual-de-Conflictos-Sociales-N-95-Enero-2012.pdf,95,1,2012,adjuntia_portada_estadistica,74,595,842,885,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-98-Abril-2012.pdf,98,4,2012,adjuntia_portada_estadistica,111,595,842,843,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-n._-212-octubre-2021.pdf,212,10,2021,adjuntia_portada_estadistica,148,595,842,928,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-n._-214-_-diciembre-2021.pdf,214,12,2021,adjuntia_portada_estadistica,135,595,842,934,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-n._-221-julio-2022.pdf,221,7,2022,adjuntia_portada_estadistica,157,595,842,979,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-n._-226-diciembre-2022.pdf,226,12,2022,adjuntia_portada_estadistica,173,595,842,1007,6,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-n._-240-Febrero-2024.pdf,240,2,2024,infografia_ciclo_2024,143,595,842,1099,5,14,Corbel,0
Reporte-Mensual-de-Conflictos-Sociales-n._-243-Mayo-2024.pdf,243,5,2024,infografia_ciclo_2024,168,595,842,1151,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-n._-244-Junio_2024.pdf,244,6,2024,infografia_ciclo_2024,153,595,842,1136,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-n.o-218-_-abril-2022.pdf,218,4,2022,adjuntia_portada_estadistica,147,595,842,980,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N230_Abril-2023.pdf,230,4,2023,adjuntia_portada_estadistica,147,595,842,954,5,14,Corbel,0
Reporte-Mensual-de-Conflictos-Sociales-N_-170---Abril-2018.pdf,170,4,2018,adjuntia_portada_estadistica,113,595,842,953,5,13,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-171-Mayo-2018.pdf,171,5,2018,adjuntia_portada_estadistica,125,595,842,923,5,13,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-194-abril-2020.pdf,194,4,2020,adjuntia_portada_estadistica,114,595,842,1299,5,15,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-195-mayo-2020.pdf,195,5,2020,adjuntia_portada_estadistica,120,595,842,1321,5,15,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-196-junio-2020.pdf,196,6,2020,adjuntia_portada_estadistica,130,595,842,1093,5,15,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-197-julio-2020.pdf,197,7,2020,adjuntia_portada_estadistica,118,595,842,1102,5,15,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-199-septiembre-2020.pdf,199,9,2020,adjuntia_portada_estadistica,115,595,842,1105,5,15,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-200-octubre-2020.pdf,200,10,2020,adjuntia_portada_estadistica,124,595,842,1093,5,15,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-201-noviembre-2020.pdf,201,11,2020,adjuntia_portada_estadistica,154,595,842,1105,5,15,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-202-diciembre-2020.pdf,202,12,2020,adjuntia_portada_estadistica,124,595,842,935,5,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-203-enero-2021.pdf,203,1,2021,adjuntia_portada_estadistica,119,595,842,941,5,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-204-febrero-2021.pdf,204,2,2021,adjuntia_portada_estadistica,125,595,842,926,5,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-205-marzo-2021.pdf,205,3,2021,adjuntia_portada_estadistica,123,595,842,934,5,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-206-abril-2021.pdf,206,4,2021,adjuntia_portada_estadistica,122,595,842,966,6,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-207-Mayo-2021.pdf,207,5,2021,adjuntia_portada_estadistica,140,595,842,963,6,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-208-junio-2021.pdf,208,6,2021,adjuntia_portada_estadistica,124,595,842,951,6,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-209-julio-2021.pdf,209,7,2021,adjuntia_portada_estadistica,121,595,842,965,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-210-agosto-2021.pdf,210,8,2021,adjuntia_portada_estadistica,134,595,842,928,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-211-setiembre-2021.pdf,211,9,2021,adjuntia_portada_estadistica,133,595,842,946,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-213-noviembre-2021.pdf,213,11,2021,adjuntia_portada_estadistica,143,595,842,948,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-215-Enero-2022-1.pdf,215,1,2022,adjuntia_portada_estadistica,150,595,842,967,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-216-Febrero-2022-VF.pdf,216,2,2022,adjuntia_portada_estadistica,154,595,842,982,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-217-Marzo-2022.pdf.pdf,217,3,2022,adjuntia_portada_estadistica,171,595,842,983,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-219-Mayo-2022.pdf,219,5,2022,adjuntia_portada_estadistica,138,595,842,945,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-220-Junio-2022.pdf,220,6,2022,adjuntia_portada_estadistica,151,595,842,969,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-222-Agosto-2022.pdf,222,8,2022,adjuntia_portada_estadistica,151,595,842,1008,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-223-Setiembre-2022.pdf,223,9,2022,adjuntia_portada_estadistica,149,595,842,1033,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-224-Octubre-2022.pdf,224,10,2022,adjuntia_portada_estadistica,157,595,842,1024,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-225-Noviembre-2022.pdf,225,11,2022,adjuntia_portada_estadistica,155,595,842,1049,6,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-227-Enero-2023.pdf,227,1,2023,adjuntia_portada_estadistica,218,595,842,996,5,14,Arial-BoldMT,0
Reporte-Mensual-de-Conflictos-Sociales-N_-228-Febrero-2023.pdf,228,2,2023,adjuntia_portada_estadistica,168,595,842,988,5,14,Corbel,0
Reporte-Mensual-de-Conflictos-Sociales-N_-231-mayo-2023.pdf,231,5,2023,adjuntia_portada_estadistica,144,595,842,940,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-232-Junio-2023.pdf,232,6,2023,adjuntia_portada_estadistica,148,595,842,939,5,14,Corbel,0
Reporte-Mensual-de-Conflictos-Sociales-N_-233-Julio-2023.pdf,233,7,2023,adjuntia_portada_estadistica,167,595,842,964,5,14,Arial-BoldMT,0
Reporte-Mensual-de-Conflictos-Sociales-N_-234-Agosto-2023.pdf,234,8,2023,adjuntia_portada_estadistica,145,595,842,994,5,14,Arial-BoldMT,0
Reporte-Mensual-de-Conflictos-Sociales-N_-235-Setiembre-2023.pdf,235,9,2023,adjuntia_portada_estadistica,164,595,842,992,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-236-Octubre-2023.pdf,236,10,2023,adjuntia_portada_estadistica,188,595,842,986,5,14,Corbel,0
Reporte-Mensual-de-Conflictos-Sociales-N_-237-Noviembre-2023.pdf,237,11,2023,adjuntia_portada_estadistica,172,595,842,1001,5,14,Corbel,0
Reporte-Mensual-de-Conflictos-Sociales-N_-238-Diciembre-2023.pdf,238,12,2023,adjuntia_portada_estadistica,146,595,842,1006,5,14,Corbel,0
Reporte-Mensual-de-Conflictos-Sociales-N_-239-Enero-2024.pdf,239,1,2024,infografia_ciclo_2024,148,595,842,1164,5,14,Corbel,0
Reporte-Mensual-de-Conflictos-Sociales-N_-246-Agosto_2024-1.pdf,246,8,2024,infografia_ciclo_2024,162,595,842,1148,5,14,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-248-Octubre_2024.pdf,248,10,2024,infografia_ciclo_2024,107,595,842,1373,5,12,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-254-Abr_2025.pdf,254,4,2025,infografia_ciclo_2024,109,595,842,1339,5,12,FranklinGothic-Book,0
Reporte-Mensual-de-Conflictos-Sociales-N_-260-Oct_2025.pdf,260,10,2025,infografia_ciclo_2024,121,595,842,1294,5,10,FranklinGothic-Book,0
reporte-menusal-92.pdf,92,10,2011,adjuntia_portada_estadistica,68,595,842,883,0,13,"Arial,Bold",0
reporte_85.pdf,85,3,2011,adjuntia_portada_estadistica,69,595,842,625,2,12,Arial,0
reporte_86.pdf,86,4,2011,adjuntia_portada_estadistica,65,595,842,625,2,12,Arial,0
reporte_91_1.pdf,91,9,2011,adjuntia_portada_estadistica,69,595,842,974,2,13,"Arial,Bold",0
reporte_conflictos_59_enero2009.pdf,59,1,2009,unidad_sumilla,67,595,842,1820,0,27,FranklinGothic-Book,0
Reporte_conflictos_90.pdf,90,8,2011,adjuntia_portada_estadistica,60,595,842,919,2,13,"Arial,Bold",0
Reporte_Mensual_de_Conflictos_Sociales_N_173_-_Julio_2018.pdf,173,7,2018,adjuntia_portada_estadistica,115,595,842,941,5,14,"Arial,Bold",0
Reporte_Mensual_de_Conflictos_Sociales_N_192_-_febrero_2020.pdf,192,2,2020,adjuntia_portada_estadistica,119,595,842,920,6,14,Franklin Gothic Book,0
Reporte_Mensual_de_Conflictos_Sociales_N_193_-_marzo_2020.pdf,193,3,2020,adjuntia_portada_estadistica,103,595,842,1110,5,15,Franklin Gothic Book,0
Reporte_Mensual_de_Conflictos_Sociales_N_198_-_agosto_2020.pdf,198,8,2020,adjuntia_portada_estadistica,129,595,842,1085,5,15,Franklin Gothic Book,0
ReporteConflictos_marzo2024.pdf,241,3,2024,infografia_ciclo_2024,153,595,842,1104,5,14,FranklinGothic-Book,0
ReporteDeConflictos_abril24.pdf,242,4,2024,infografia_ciclo_2024,154,595,842,1142,5,14,FranklinGothic-Book,0
setiembre 2004 - Reporte 07 - Conflictos sociales.pdf,7,9,2004,reporte_n_tabla_regiones,34,595,851,2694,0,255,Arial Narrow,0
setiembre 2005 - conflictos_sociales19.pdf,19,9,2005,reporte_n_tabla_regiones,37,595,842,1956,0,76,Arial,0
