archivo,numero,mes,anio,formato,paginas,ancho,alto,chars_p1,imgs_p1,dibujos_p1,fuente_p1,escaneado
conflictos_sociales45-CS.pdf,45,11,2007,unidad_reporte_n,171,595,842,1766,1,191,CenturyGothic,0
conflictos_sociales47.pdf,47,1,2008,unidad_reporte_n,170,595,842,1830,1,220,ArialMT,0
conflictos_sociales48.pdf,48,2,2008,unidad_reporte_n,182,595,842,1833,1,220,ArialMT,0
conflictos_sociales49.pdf,49,3,2008,unidad_reporte_n,196,595,842,1866,1,242,ArialMT,0
conflictos_sociales50.pdf,50,4,2008,unidad_sumilla,36,595,842,1810,0,18,FranklinGothic-Book,0
conflictos_sociales52.pdf,52,6,2008,unidad_sumilla,49,595,842,1617,0,22,Franklin Gothic Book,0
conflictos_sociales54.pdf,54,8,2008,unidad_sumilla,54,595,842,1713,0,22,Franklin Gothic Book,0
Conflictos_Sociales_N_177_-_Noviembre_2018.pdf,177,11,2018,adjuntia_portada_estadistica,107,595,842,969,6,14,Franklin Gothic Book,0
Conflictos_Sociales_N_185_-_Julio_2019.pdf,185,7,2019,adjuntia_portada_estadistica,120,595,842,959,6,14,Franklin Gothic Book,0
Conflictos_Sociales_N_186_-_Agosto_2019.pdf,186,8,2019,adjuntia_portada_estadistica,115,595,842,960,6,14,Franklin Gothic Book,0
Conflictos_Sociales_N_187_-_Septiembre_2019.pdf,187,9,2019,adjuntia_portada_estadistica,114,595,842,965,6,14,Franklin Gothic Book,0
Conflictos_Sociales_N_189_-_Noviembre_2019.pdf,189,11,2019,adjuntia_portada_estadistica,115,595,842,977,6,14,Franklin Gothic Book,0
Conflictos_Sociales_N_190_-_diciembre_2019.pdf,190,12,2019,adjuntia_portada_estadistica,107,595,842,974,5,14,Franklin Gothic Book,0
diciembre 2004 - Reporte 10 - Conflictos sociales.pdf,10,12,2004,reporte_n_tabla_regiones,39,595,842,2149,0,223,Arial Narrow,0
diciembre 2005 - conflictos_sociales22.pdf,22,12,2005,reporte_n_tabla_regiones,43,595,842,1624,0,58,Arial,0
enero 2005 - conflictos_sociales11.pdf,11,1,2005,reporte_n_tabla_regiones,32,595,842,2064,0,99,ArialNarrow,0
febrero 2005 - conflictos_sociales12.pdf,12,2,2005,reporte_n_tabla_regiones,34,595,842,2166,0,84,ArialNarrow,0
final julio 2005 - conflictos_sociales17.pdf,17,7,2005,reporte_n_tabla_regiones,37,595,842,2340,0,104,Arial,0
final junio 2004 - Reporte 04 - Conflictos sociales.pdf,4,6,2004,reporte_n_tabla_regiones,25,595,842,2800,0,211,Arial Narrow,0
julio 2004 - Reporte 05 - Conflictos sociales.pdf,5,7,2004,reporte_n_tabla_regiones,28,595,842,2852,0,222,Arial Narrow,0
marzo 2005 - conflictos_sociales13.pdf,13,3,2005,reporte_n_tabla_regiones,33,595,842,2152,0,84,ArialNarrow,0
mayo 2004 - Reporte 02 - Conflictos sociales.pdf,2,5,2004,reporte_n_tabla_regiones,13,595,842,1683,0,81,Arial,0
mayo 2005 - conflictos_sociales15.pdf,15,5,2005,reporte_n_tabla_regiones,39,595,842,2182,0,89,ArialNarrow,0
mitad julio 2005 - conflictos_sociales16.pdf,16,7,2005,reporte_n_tabla_regiones,40,595,842,1967,0,81,Arial,0
mitad junio 2004 - Reporte 03 - Conflictos sociales.pdf,3,6,2004,reporte_n_tabla_regiones,20,595,842,2778,0,213,Arial Narrow,0
n241_ReporteConflictos_marzo2024.pdf,241,3,2024,infografia_ciclo_2024,154,595,842,1104,5,14,FranklinGothic-Book,0
noviembre 2004 - Reporte 09 - Conflictos sociales.pdf,9,11,2004,reporte_n_tabla_regiones,38,595,842,2256,0,233,Arial Narrow,0
noviembre 2005 - conflictos_sociales21.pdf,21,11,2005,reporte_n_tabla_regiones,61,595,842,1662,0,64,Arial,0
octubre 2004 - Reporte 08 - Conflictos sociales.pdf,8,10,2004,reporte_n_tabla_regiones,38,595,842,2705,0,255,Arial Narrow,0
